062003051351999000006025TMIGUEL A.                HIDALGO                  SANCHEZ                   000000000000000000N
062003051351999000006026TARACELI                  DIAZ                     ORDOÑEZ                   000000000000000000N
062003051351999000006027TJOSE JUAN                SANTANA                  QUINTANA                  000000000000000000N
062003051351999000006028TANTONIO                  HERNANDEZ                SAAVEDRA                  000000000000000000N
062003051351999000006029TFRANCISCO RAMON          SANCHEZ                  ROBAINA                   000000000000000000N
062003051351999000006003TRAFAEL L.                PEDRERO                  MANCHADO                  000000000000000000S
062003051351999000006004TMARIA INES               JIMENEZ                  MARTIN                    000000000000000000S
062003051351999000006005TANDRES                   HERRERA                  TRUJILLO                  000000000000000000S
062003051351999000006006TAURORA I.                MORENO                   SANTANA                   000000000000000000S
062003051351999000006007TOSCAR R.                 HERNANDEZ                SUAREZ                    000000000000000000S
062003051351999000006008TINMACULADA               VEGA                     GARCIA                    000000000000000000N
062003051351999000006009TMARIO                    HERNANDEZ                SANGINES                  000000000000000000N
062003051351999000032001TMARIA ESPERANZA          OTERO                    LOJO                      000000000000000000N
062003051351999000032010TMARIA ERLINDA            RODRIGUEZ                COLOMER                   000000000000000000N
062003051351999000032011TMARIA YOLANDA            RODRIGUEZ                COLOMER                   000000000000000000N
062003051351999000032012TFRANCISCO MANUEL         GARCIA                   ALONSO                    000000000000000000N
062003051351999000032013TBENITO JOSE              HERNANDEZ                PEREZ                     000000000000000000N
062003051351999000032014TELVIRA CAYETANA          VAQUERO                  RODRIGUEZ                 000000000000000000N
062003051351999000032015TFEDERICO JOSE            VAQUERO                  RODRIGUEZ                 000000000000000000N
062003051351999000032016TJOSE JAVIER              DE SANCHO                RAVELO                    000000000000000000N
062003051351999000032017TDIMAS MANUEL             VAQUERO                  TORRES                    000000000000000000N
062003051351999000032018TMARIA MILAGROSA          TORRES                   CRUZ                      000000000000000000N
062003051351999000032019TGUNDELINA INMACULADA     SANTANA                  BOLAÑOS                   000000000000000000N
062003051351999000032002TALBERTO HORACIO          LEIVA                    GUEVARA                   000000000000000000N
062003051351999000032020TGONZALO RUBEN            VAQUERO                  RODRIGUEZ                 000000000000000000N
062003051351999000032021TDESIDERIO                SARMIENTO                GARCIA                    000000000000000000N
062003051351999000032022TAIDA VENERANDA           DIAZ                     MARRERO                   000000000000000000N
062003051351999000032023TMIGUEL ANGEL             MONTESDEOCA              FALCON                    000000000000000000N
062003051351999000032024TMARIA ANTONIA            MEDINA-ANAYA             JIMENEZ                   000000000000000000N
062003051351999000032025TDOMINGO                  VAZQUEZ                  GARRIDO                   000000000000000000N
062003051351999000032026TPEDRO                    LEON                     FERNANDEZ                 000000000000000000N
062003051351999000032027TELENA                    RODRIGUEZ                FEO                       000000000000000000N
062003051351999000032028TJUAN CARLOS              GARCIA                   ABAD                      000000000000000000N
062003051351999000032029TAGATA                    GARCIA                   GARCIA                    000000000000000000N
062003051351999000032003TMIRIAM ESTHER            MARTIN                   OTERO                     000000000000000000N
062003051351999000032004TFRANCISCO                VAQUERO                  RODRIGUEZ                 000000000000000000N
062003051351999000032005TMARIA LOURDES            BENITEZ                  LOPEZ                     000000000000000000N
062003051351999000032006TLUIS GONZALO             ALI                      BETANCOR                  000000000000000000N
062003051351999000032007TFERNANDO JUAN            CABRERA                  TARRAGO                   000000000000000000N
062003051351999000032008TJOSE FRANCISCO           RODRIGUEZ                COLOMER                   000000000000000000N
062003051351999000032009TSANDRA                   COLOMER                  MORENO                    000000000000000000N
062003051351999000039001TJUAN FRANCISCO           RODRIGUEZ                BAEZ                      000000000000000000N
062003051351999000039010TFRANCISCA ROSA           SANTANA                  ALEMAN                    000000000000000000N
062003051351999000039011TOCTAVIO                  TRUJILLO                 RAMIREZ                   000000000000000000N
062003051351999000039012TNELIDA DEL CARMEN        CABRERA                  SUAREZ                    000000000000000000N
062003051351999000039013TJOSE LUIS                HERNANDEZ                HERNANDEZ                 000000000000000000N
062003051351999000039014TISABEL                   REYES                    FUENTES                   000000000000000000N
062003051351999000039015TFRANCISCO AGUSTIN        OJEDA                    RAMIREZ                   000000000000000000N
062003051351999000039016TLETICIA MARIA            ALAMO                    GARCIA                    000000000000000000N
062003051351999000039017TANTONIO JUAN             SUAREZ                   MORALES                   000000000000000000N
062003051351999000039018TCANDIDA                  FALCON                   HERNANDEZ                 000000000000000000N
062003051351999000039019THERIBERTO                SANTANA                  OJEDA                     000000000000000000N
062003051351999000039002TAMALIA ENCARNACION       BOSCH                    BENITEZ                   000000000000000000N
062003051351999000039020TREGINA LUCIA             HERNANDEZ                BRITO                     000000000000000000N
062003051351999000039021THONORIO                  GALINDO                  ROCHA                     000000000000000000N
062003051351999000039022TMARIA LUISA ISABEL       MARTINEZ                 SEOANE                    000000000000000000N
062003051351999000039023TFERMIN VENANCIO          PEREZ                    QUINTANA                  000000000000000000N
062003051351999000039024TGENOVEVA ROSARIO         MARTIN                   NOBAUER                   000000000000000000N
062003051351999000039025TSAULO FERNANDO           OJEDA                    PERERA                    000000000000000000N
