032019111239001000094001TMicaela                  Navarro                  Garzón                   F000000000000000000S
032019111239002000094002TJosé                     Latorre                  Ruíz                     M000000000000000000S
032019111239003000094003TManuel Ángel             Fernández                Palomino                 M000000000000000000S
032019111239019000098001TJosé Gabriel             Castillo                 Hidalgo                  M000000000000000000N
032019111239018000101001TTeresa                   Recena                   González                 F000000000000000000N
032019111239017000103001TAntonio Abad             García                   Arboledas                M000000000000000000N
032019111239013000116001TRamón                    Ortuño                   Expósito                 M000000000000000000N
032019111299021000009001TJuan José                Segura                   Palacios                 M000000000000000000N
032019111299022000009002TLourdes                  Fernández                Navas                    F000000000000000000N
032019111299023000009003TSalvador                 González                 Agüera                   M000000000000000000N
032019111299007000018001TJuan Antonio             Vargas                   Ramírez                  M000000000000000000N
032019111299008000018002TMaría Pilar              Conejo                   Ruiz                     F000000000000000000N
032019111299009000018003TSergio                   Gómez                    Gutiérrez                M000000000000000000N
032019111299025000044001TFrancisco                Soler                    Luque                    M000000000000000000N
032019111299014000055001TCristina                 García                   Salazar                  F000000000000000000N
032019111299015000055002TVicente Manuel           Corrales                 Rosado                   M000000000000000000N
032019111299016000055003TMarta                    Marín                    Arrabal                  F000000000000000000N
032019111299020000058001TMaría Gloria             Fernández                Ruiz                     F000000000000000000N
032019111299010000081001TAydé                     Salomón                  Ganado                   F000000000000000000N
032019111299011000081002TErnesto                  Alba                     Aragón                   M000000000000000000N
032019111299012000081003TSalvador                 Pérez                    Mata                     M000000000000000000N
032019111299004000083001TMaría Ángeles            Muñoz                    Uriol                    F000000000000000000S
032019111299005000083002TJoaquín Luis             Ramírez                  Rodríguez                M000000000000000000N
032019111299006000083003TMaría Nieves             Atencia                  Fernández                F000000000000000000N
032019111299001000094001TMiguel Ángel             Heredia                  Díaz                     M000000000000000000S
032019111299002000094002TEstefanía                Martín                   Palop                    F000000000000000000S
032019111299003000094003TJosé Aurelio             Aguilar                  Román                    M000000000000000000S
032019111299024000098001TMaría Dolores            García                   Sánchez                  F000000000000000000N
032019111299017000101001TFrancisco José           Rodríguez                Marín                    M000000000000000000N
032019111299018000101002TRafael                   Núñez                    Ruiz                     M000000000000000000N
032019111299019000101003TIsabel                   Fernández                Morales                  F000000000000000000N
032019111299013000116001TPablo Fernando           Sáenz de Tejada          Ariza                    M000000000000000000N
032019111419018000009001TAntonio Jesús            Acevedo                  Blanco                   M000000000000000000N
032019111419019000009002TMaría Gloria             Molina                   Ramos                    F000000000000000000N
032019111419020000009003TManuel                   Vera                     Silvestre                M000000000000000000N
032019111419004000018001TÁngel                    Mayo                     Llanos                   M000000000000000000N
032019111419005000018002TAmelia                   Velázquez                Guevara                  F000000000000000000N
032019111419006000018003TGuillermo                Prieto                   Perea                    M000000000000000000N
032019111419013000044001TConcepción               San Martín               Montilla                 F000000000000000000N
032019111419015000055001TMaría                    Cutiño                   Zamora                   F000000000000000000N
032019111419016000055002TGonzalo                  González                 Valencia                 M000000000000000000N
032019111419017000055003TRosario                  Carmona                  Rodríguez                F000000000000000000N
032019111419024000058001TAntonio                  Vílchez                  Cebrián                  M000000000000000000N
032019111419010000081001TLuis                     Escamilla                García                   M000000000000000000N
032019111419011000081002TMaria del Valle          Fernández                Martínez                 F000000000000000000N
032019111419012000081003TMaría Ángeles            García                   Ramírez                  F000000000000000000N
032019111419007000083001TJosé Luis                Sanz                     Ruiz                     M000000000000000000S
032019111419008000083002TRicardo                  Villena                  Machuca                  M000000000000000000N
032019111419009000083003TIsabel del Pilar         Fernández de Liencres    Rodríguez                F000000000000000000N
032019111419001000094001TAntonio                  Gutiérrez                Limones                  M000000000000000000S
032019111419002000094002TMaría Nieves             Hernández                Espinal                  F000000000000000000S
032019111419003000094003TJuan Antonio             Gilabert                 Sánchez                  M000000000000000000S
032019111419023000098001TRafael                   Villar                   Liñán                    M000000000000000000N
032019111419021000101001TFrancisco                Vicedo                   Carmona                  M000000000000000000N
032019111419022000101002TAna María                Alés                     García                   F000000000000000000N
032019111419014000116001TMacario                  Valpuesta                Bermúdez                 M000000000000000000N
032019111229026000015001TAna Beatríz              Gual                     Planas                   F000000000000000000N
032019111229027000015002TFernando                 Marqués                  Mancho                   M000000000000000000N
032019111229028000015003TAna                      Usieto                   Pujala                   F000000000000000000N
