0819830511719400034905705JOSE                     CASAS                    LLORE                                       070S
0819830511719400034905705ANGEL                    MUNTADA                  BUSQUET                                     006S
0819830511719600034904405MARTIN MOLAS             I                        HURTOS                                      062S
0819830511719600034904405JUAN SALA                I                        HERRERO                                     041S
0819830511719600034904405JUAN CARLOS              ALVAREZ I                BURRELLO                                    009S
0819830511719600034904405JOSE CONGOST             I                        LLAVET                                      029S
0819830511719600034904405ISIDRO FELIP             I                        ISERN                                       037S
0819830511719700034902905MARTIN                   RIBOT                    AMER                                        016S
0819830511719700034902905JUAN                     JORDI                    SEGRERA                                     012S
0819830511719700034902905JOSE                     LLENAS                   TAULER                                      061S
0819830511719700034902905JOSE                     FERRER                   PI                                          011S
0819830511719700034902905GABRIEL                  MOLINAS                  SALVE                                       018S
0819830511720100045707005RAMON                    GASSO                    GIRME                                       058S
0819830511720100045707005MARIA ANGELES            CIRERO                   SOLA                                        061S
0819830511720100045707005JOSE                     FOSAS                    ESTREGUES                                   063S
0819830511720100045707005BUENAVENTURA             COCH                     ESTREGUES                                   063S
0819830511720100045707005ALFONS                   PIFERRER                 COMELLA                                     037S
0819830511720300034909204SALVIO                   MARULL                   BOIX                                        092S
0819830511720300034909204PEDRO                    BATLLE                   ALEMANY                                     034N
0819830511720300034909204MARIA GRACIA             SERRATS                  PARETAS                                     080S
0819830511720300034909204JOSEP                    PALOL                    SUÑER                                       078S
0819830511720300034909204JOSE MARIA               BATLLE                   AMETLLER                                    086S
0819830511720300045706701NARCISO                  DAVESA                   GRAU                                        067S
0819830511720300052304100LUIS                     OLIVER                   BAHI                                        058N
0819830511720300052304100LUIS                     MASCARRERAS              CASAS                                       017N
0819830511720300052304100JOSE                     PARETAS                  AOS                                         034N
0819830511720300052304100FRANCISCO JAVIER         DAVESA                   CALMO                                       056N
0919830511720600034905405MANUEL                   SANT                     PONT                                        042S
0919830511720600034905405LORENZO                  PLA                      PALAU                                       044S
0919830511720600034905405JORGE                    CRUILLES                 RIGOLA                                      058S
0919830511720600034905405JAIME                    ARTIGAS                  PICAS                                       026S
0919830511720600034905405JACINTO                  MORA                     OBRADOR                                     046S
0819830511720900024205702TOMAS                    CANE                     ABELLI                                      060S
0819830511720900024205702RAMON                    MONT                     JUVE                                        012N
0819830511720900024205702MIGUEL                   ARENAS                   TORROELLA                                   056S
0819830511720900024205702JOSE                     PUJOL                    RICART                                      050N
0819830511720900024205702CANDIDO                  GARCIA                   SUQUET                                      053N
0819830511720900034906203Mº CANDELARIA            COLLS                    SIMO                                        026N
0819830511720900034906203LUIS                     FRIGOLA                  MINOBAS                                     039N
0819830511720900034906203JUAN                     SEBRIA                   ALIU                                        056S
0819830511720900034906203JOSE                     TORROELLA                SABALLS                                     060S
0819830511720900034906203JOAN                     SURROCA                  VILA                                        067S
0819830511721200001805505RAMON BACH               I                        COROMINA                                    041S
0819830511721200001805505MARIA ANTONIA            VIVET I                  CARRERA                                     053S
0819830511721200001805505JOSEP SADURNI            I                        SERRASOLSAS                                 043S
0819830511721200001805505JOSEP ANGLADA            I                        DORCA                                       038S
0819830511721200001805505JOAN ESCARRA             I                        DANES                                       045S
0819830511721600034905805PERE                     NIERGA                   BASCALLA                                    031S
0819830511721600034905805MARTIN                   BATLLORI                 SANS                                        042S
0819830511721600034905805JUAN                     MURISCOT                 FURCARA                                     048S
0819830511721600034905805JOSE MASSO               I                        MASOS                                       065S
0819830511721600034905805JOSE MARIA               FIGUERAS                 RUBIROLA                                    049S
0819830511722200034904305NARCISO                  SABRI                    PUIG                                        052S
0819830511722200034904305JOSE                     TOMAS                    MADRENAS                                    030S
0819830511722200034904305JOSE                     COSTA                    PONS                                        028S
0819830511722200034904305JAIME                    RISPAU                   PLANES                                      031S
0819830511722200034904305JAIME                    FARRERO                  PI                                          033S
0819830511722700045705105JOSE MARIA               BERTRAN                  TEIXIDOR                                    050S
0819830511722700045705105JOSE                     NOGUERA                  FARRAS                                      040S
0819830511722700045705105JORGE                    SUQUET                   RIBERA                                      040S
0819830511722700045705105AUGUSTO                  SANCHEZ                  ANDREU                                      020S
0819830511722700045705105ALFONSO                  VILA                     CUADRADO                                    056S
0819830511723200034904505PEDRO                    COS                      GELI                                        053S
0819830511723200034904505MATEO                    BATLLE                   GISPER                                      032S
0819830511723200034904505MARTIN                   BUSQUETS                 RISPAU                                      034S
0819830511723200034904505JUAN                     ADROHER                  ROURA                                       035S
0919830514411300055902305VICENTE SEBASTIAN        MONTOLIU                 MORTE                                       044S
0919830514411300055902305VALERIANO                ALEGRE                   VILLANUEVA                                  013S
0919830514411300055902305PEDRO                    VILLANUEVA               ALEGRE                                      012S
0919830514411300055902305LUIS                     VILLANUEVA               VILLANUEVA                                  008S
0919830514411300055902305JUAN RAMON               VILLANUEVA               IGUAL                                       017S
0819830514411500022002601VICENTE FRANCISCO        SAUGÜESA                 GASCON                                      047S
0819830514411500022002601ISIDORO                  MARZO                    GOMEZ                                       025N
