0919790410920200202902105Francisco                Gutiérrez                Calzada                                     008S
0919790410920200202902105Florencio                Pérez                    Santamaría                                  019S
0919790410920200202902105Avelino                  Olmo                     Gómez                                       018S
0819790410920600227003005Ramón                    González                 Maestro                                     026S
0819790410920600227003005Lorenzo                  Martínez                 Rodríguez                                   028S
0819790410920600227003005Jesús                    Maté                     Martinos                                    006S
0819790410920600227003005Aureliano                Valdivieso                                                           022S
0819790410920600227003005Andrés                   Villanueva               Díez                                        039S
0819790410922000071406805Wenceslao                López                    Pajares                                     015N
0819790410922000071406805Valeriano                Fernández                Campo                                       032S
0819790410922000071406805Teodoro                  Hermosilla               Leina                                       022N
0819790410922000071406805Nicanor                  Hermosilla               Campo                                       004N
0819790410922000071406805Miguel                   Pérez                    Mallaina                                    015N
0819790410922000071406805Julián                   Ruiz                     Hermosilla                                  015N
0819790413411200183305205Evaristo                 García                   Pérez                                       023S
0819790413411200183305205Constantino              Mayordomo                Escudero                                    057S
0919790413411300227002205Santiago                 Martín                   Calvo                                       030S
0919790413411300227002205Jesús                    Fuente                   Martín                                      018S
0919790413411300227002205Gervasio                 Herrero                  Herrero                                     013S
0919790413411300227002205Baudilio                 Olmo                     Olmo                                        012S
0919790413411300227002205Anastasio                Campo                    Herrero                                     015S
0819790413411600183302405Valentín                 Nestar                   Alcalde                                     015S
0819790413411600183302405Manuel                   Villegas                 Bahillo                                     010S
0819790413411600183302405Elías                    Martín                   Guerrero                                    026S
0819790413411600183302405Delfino                  Marcos                   Diego                                       025S
0819790413411600183302405Daniel                   Marcos                   Cebrián                                     020S
0819790413412200183303705Teodomiro                Marcos                   Gallego                                     011S
0819790413412200183303705Pedro                    López                    Merino                                      019S
0819790413412200183303705Miguel                   Martín                   Lombraña                                    019S
0819790413412200183303705Julián                   García                   García                                      084S
0819790413412200183303705Jesús Ángel              Rodríguez                García                                      018S
0819790413412400183303905Pedro                    Aguilar                  Rodríguez                                   023S
0819790413412400183303905José                     Gordo                    Bascones                                    035S
0819790413412400183303905Jesús                    Maestro                  de laHera                                   022S
0819790413412400183303905Felino                   Gordo                    Bascones                                    038S
0819790413412400183303905Estanislao               Santos                   Miguel                                      039S
0819790413412500183306405Luis Mª                  García                   García                                      052S
0819790413412500183306405José Luis                Frontela                 Martín                                      051S
0819790413412500183306405Isidoro                  Aristín                  Martín                                      070S
0819790413412500183306405Gaudencio                Moro                     de Cea                                      040S
0819790413412500183306405Gaspar                   Polanco                  Aristín                                     044S
0819790413412700183307403Pantaleón                Álvarez                  Rodríguez                                   064S
0819790413412700183307403Luis Ángel               Gómez                    Malanda                                     085S
0819790413412700183307403Julián                   Blanco                   Rojo                                        065S
0819790413412700183307403Gaudencio                Antolín                  Pisano                                      048N
0819790413412700183307403David                    García                   Santos                                      036N
0819790413412700227005102Mariano                  Silva                    Carrancio                                   051S
0819790413412700227005102Isidoro                  Muñoz                    Pisano                                      026N
0819790413412700227005102Heliodoro                Carrancio                Carrancio                                   018N
0819790413412700227005102Félix                    Hoyos                    Hoyos                                       043N
0819790413412700227005102Diodoro                  Gómez                    Iglesias                                    068S
0819790413413100227002305Rosendo                  de Lamo                  Antolínez                                   029S
0819790413413100227002305Luis                     Durántez                 de Prado                                    005S
0819790413413100227002305Laurentino               Antolínez                de Lamo                                     019S
0819790413413100227002305José Luis                Durántez                 Ozaeta                                      028S
0819790413413100227002305Domingo                  Durántez                 Ozaeta                                      012S
0819790413413300183304904Orencio                  Ocasar                   Ordejón                                     038S
0819790413413300183304904Jesús                    Moratinos                Ordejón                                     018N
0819790413413300183304904Francisco                Ordejón                  Moratinos                                   053S
0819790413413300183304904Baltasar                 Palomo                   Palomo                                      046S
0819790413413300183304904Aurelio                  Herrero                  Tomé                                        044S
0819790413413300227003801Teógenes                 Alonso                   Herrero                                     015N
0819790413413300227003801Samuel                   Moratinos                Herrero                                     026N
0819790413413300227003801Ismael                   Herrero                  Alonso                                      029N
0819790413413300227003801David                    del Moral                Revilla                                     029N
0819790413413300227003801Afrodisio                Moratinos                Ordejón                                     054S
0819790413413400183303805Paulino                  Rueda                    Lores                                       034S
0819790413413400183303805Gregorio                 Merino                   Merino                                      023S
0819790413413400183303805Francisco                Lores                    Rueda                                       036S
0819790413413400183303805Francisco                Canal                    Sánchez                                     026S
0819790413413400183303805Alejandro                Pérez                    Lores                                       035S
0919790413413700183301805Víctor                   Burgos                   Rodríguez                                   011S
0919790413413700183301805Rufino                   Diez                     Frechoso                                    021S
0919790413413700183301805Lucio                    Castrillo                Fernández                                   014S
0919790413413700183301805Joaquín                  del Río                  García                                      013S
0919790413413700183301805Jesús                    del Río                  Cabeza                                      014S
0819790413414600227004105José Mª                  Rodríguez                Rojo                                        056S
0819790413414600227004105José Luis                Ayuso                    García                                      022S
0819790413414600227004105Jesús                    González                 Barriuso                                    036S
0819790414004500227005705Ignacio                  Aranguez                 Cristóbal                                   053S
0819790414004500227005705Faustino                 Matesanz                 de las Heras                                050S
0819790414004500227005705Celedonio                Moreno                   Martín                                      040S
0819790414004500227005705Antonio                  Martín                   Moreno                                      039S
0819790414004500227005705Antonio                  Aranguez                 Masedo                                      049S
0819790414004600227006805Vicente                  Fresnillo                Lobo                                        054S
0819790414004600227006805Ricardo                  Díez                     Pascual                                     071S
0819790414004600227006805Máximo                   Lobo                     García                                      048S
0819790414004600227006805José Luis                Benito                   Martín                                      052S
0819790414004600227006805Higinio                  Cob                      Arribas                                     048S
0819790414004700227003005Tomás                    Sancha                   de la Fuente                                026S
0819790414004700227003005Pedro                    Vaquerizo                San José                                    028S
0819790414004700227003005Laureano                 Alcones                  Blanco                                      011S
0819790414004700227003005Ildefonso                Llorente                 González                                    039S
0819790414004700227003005Feliciano                Peñas                    Sanz                                        018S
0919790414004800227002605Teófilo                  Guerra                   Guijarro                                    019S
0919790414004800227002605Ricardo                  García                   Peña                                        009S
0919790414004800227002605Luis                     San Ignacio              Guerra                                      035S
0919790414004800227002605Enrique                  San José                 Martín                                      017S
0919790414004800227002605Cándido                  Pascual                  Severiano                                   025S
0819790414004900227003105Victoriano               García                   García                                      021S
0819790414004900227003105Victor                   García                   San Antonio                                 015S
0819790414004900227003105Rufino                   Hernánz                  del Amo                                     021S
0819790414004900227003105Mariano                  Alonso                   Álvaro                                      035S
0819790414004900227003105Epifanio                 Álvaro                   Pascual                                     035S
0919790414005100219701305José                     de Antonio               San José                                    008S
0919790414005100219701305Jacinto                  Iglesias                 Pulido                                      025S
0919790414005100219701305Donato                   Pecharromán              Peña                                        005S
0919790414005100219701305Daniel                   Pulido                   Lobo                                        011S
0919790414005100219701305Ciriaco Álvaro           Pecharromán              Peña                                        004S
0819790414005200219706203Sinesio                  Sanz                     Jimeno                                      027N
